# ItemDesignations
# create items in here, use : for multiple values in same field
# example: Cool Potion, heal:mana, 10:20, coolpot.png
# potion will give 10 health, and 20 mana
# also works for equipment, and with negative values 
# (poison?, axe with high damage but negative armor-effect?)
#
# OBS OBS OBS! Capital letters on most things (not image)
#
# Consumables: (name, effect, value, image) 
#
Health Potion, Heal, 20, healthpot.png
Big Health Potion, Heal, 40, ------
#
# Equipment: (name, type/slot, effect, value, image)
#
Short Sword, Mainhand, Damage, 10, shortsword.png
Bastard Sword, Mainhand, Damage, 20, bastardsword.png
Two Handed Axe, Mainhand:Offhand, Damage, 40, twohandedaxe.png
Scalemail, Chest, Armor, 10, scalemail.png
Buckler, Offhand, Armor, 5, bucklershield.png
Helmet, Head, Armor, 5, -------
Greaves, Legs, Armor, 7, ------
Boots, Feet, Armor, 3, -----
#
# Signs
#
Sign1, Offhand, Armor, 5, sign.png
Sign2, Offhand, Armor, 5, sign.png
Sign3, Offhand, Armor, 5, sign.png 
