# This is the item map, it describes what items (based on names) goes where
# Yes, placement becomes hard, but the MapRenderer does not really allow for item placement
# in this form: (where area is overworld or underground (or other not yet implemented areas))
# cellX:cellY, roomX:roomY, area, itemName, filename (must be png)
#
10:1, 0:0, overworld, Health Potion
11:16, 0:0, overworld, Health Potion
2:6, 0:0, overworld, Short Sword
1:16, 0:1, overworld, Bastard Sword
18:13, 0:0, overworld, Scalemail
29:15, 0:1, overworld, Buckler
#
# Signs
#
3:1, 0:0, overworld, Sign1
3:3, 0:0, overworld, Sign2
1:3, 0:0, overworld, Sign3
